old id,New
/docs/articles/users/access-management, /docs/access-management
/docs/articles/local/accessing-mysql-databases, /docs/mysql-access
/docs/articles/users/access-account-after-owner-leaves, /docs/
/docs/articles/sites/settings/add-a-credit-card-to-a-site, /docs/site-access
/docs/articles/sites/all-about-application-containers, /docs/application-containers
/docs/articles/sites/apache-solr, /docs/solr
/docs/articles/sites/code/applying-upstream-updates, /docs/upstream-updates
/docs/articles/sites/logs/downloading-live-error-logs, , /docs/download-logs
/docs/articles/sites/quicksilver, /docs/quicksilver
/docs/articles/sites/backups/backup-creation, /docs/create-backups
/docs/articles/sites/backups, /docs/backups
/docs/articles/sites/code/bots-and-indexing, /docs/bots-and-indexing
/docs/articles/drupal/caching-in-drupal-modules, /docs/drupal-caching-modules
/docs/articles/sites/create/choosing-start-state, /docs/start-state
/docs/articles/wordpress/clone-a-wordpress-site-with-duplicator-plugin, /docs/wordpress-duplicator
/docs/articles/sites/backups/cloning-an-existing-site-from-a-dashboard-backup, /docs/clone-new-site-backups
/docs/articles/sites/cloudflare-cdn-and-dns, /docs/cloudflare
/docs/articles/wordpress/cloudFront-setup-for-wordpress, /docs/wordpress-cloudfront
/docs/articles/drupal/drupal8/configuration-management, /docs/drupal-8-configuration-management
/docs/articles/drupal/configuring-jetbrains-phpstorm-ide-with-pantheon, /docs/drupal-phpstorm
/docs/articles/wordpress/configuring-phpstorm-on-pantheon-for-wordpress, /docs/wordpress-phpstorm
/docs/articles/drupal/configuring-settings-php, /docs/settings-php
/docs/articles/wordpress/configuring-wp-config-php, /docs/wp-config-php
/docs/articles/sites/varnish/pantheon_stripped-get-parameter-values, /docs/pantheon_stripped
/docs/articles/drupal/content-delivery-network-cdn-for-file-distribution, /docs/content-delivery-network
/docs/articles/local/continuous-integration-solutions, /docs/continuous-integration
/docs/articles/sites/database/myisam-to-innodb, /docs/myisam-to-innodb
/docs/articles/organizations/adding-a-custom-upstream, /docs/custom-upstream
/docs/articles/sites/create, /docs/create-sites
/docs/articles/local/cli/machine-tokens, /docs/machine-tokens
/docs/articles/drupal/drupal8/create-services-yml-file, /docs/services-yml
/docs/articles/drupal/cron, /docs/drupal-cron
/docs/articles/wordpress/cron-for-wordpress, /docs/wordpress-cron
/docs/articles/sites/database/database-connection-errors, /docs/database-connection-errors
/docs/articles/sites/database, /docs/database-workflow
/docs/articles/sites/date-and-time, /docs/date-and-time
/docs/articles/sites/debugging-connectivity-issues, /docs/debug-connections
/docs/articles/sites/logs/debugging-sites-with-log-files, /docs/debug-log-files
/docs/articles/sites/code/debugging-slow-performance, /docs/debug-slow-performance
/docs/articles/users/deleting-your-pantheon-account, /docs/delete-account
/docs/articles/sites/deleting-a-site, /docs/delete-site
